nombre_original,nombre_agrupado
COPEC VOLTEX,Copec Voltex
COPEC S.A.,Copec Voltex
COPEC VOLTEX SPA,Copec Voltex
ENEL X,Enel
ENEL MOBILITY CHILE SPA,Enel
ENEL X WAY,Enel
Enerlink Chile SpA,Enerlink
ENERLINK CHILE SPA,Enerlink
CHASS SPA,Chass
Sociedad Austral de Electricidad S.A,Saesa
EMPRESA ELECTRICA DE MAGALLANES S.A,Edelmag
Empresa Electrica de Casablanca S.A,Casablanca
NEXE SPA,Nexe
