timestamp_deteccion,connector_id,operator_name,estado_anterior,estado_nuevo,api_last_updated,power_type,max_electric_power,standard,location_name,operador_agrupado,tramo_potencia,commune,region
2026-09-01T18:56:23+00:00,836,ENEL X,PRIMERA_LECTURA,FUERA DE LINEA,2026-09-01T04:08:47.508815+00:00,AC,7.4,Tipo 2,Enel X Way Privados - Parque Arauco,Enel,7,Las Condes,Metropolitana
2026-09-01T18:56:23+00:00,462,ENEL X,PRIMERA_LECTURA,DISPONIBLE,2026-09-01T16:11:36.866290+00:00,AC,7,Tipo 2,Saba Santa Rosa,Enel,7,Santiago,Metropolitana
2026-09-01T18:56:23+00:00,892,ENEL X,PRIMERA_LECTURA,DISPONIBLE,2026-09-01T16:11:32.353976+00:00,AC,7.4,Tipo 2,Enel X Way - Mall Parque Arauco,Enel,7,Las Condes,Metropolitana
2026-09-01T18:56:23+00:00,1278,COPEC VOLTEX,PRIMERA_LECTURA,NO DISPONIBLE,2026-02-11T15:14:09.197364+00:00,AC,22,Tipo 2,PLAZA INDEPENDENCIA EL MONTE,Copec Voltex,(7-22],El Monte,Metropolitana
2026-09-01T18:56:23+00:00,35,COPEC VOLTEX,PRIMERA_LECTURA,DISPONIBLE,2026-09-01T18:53:59.248929+00:00,AC,22,Tipo 2,COPEC Maule,Copec Voltex,(7-22],Maule,Maule
2026-09-01T18:56:23+00:00,949,ENEL X,PRIMERA_LECTURA,FUERA DE LINEA,2026-05-07T14:36:31.712807+00:00,AC,22,Tipo 2,Enel X Way - Petrobras Enea,Enel,(7-22],Pudahuel,Metropolitana
2026-09-01T18:56:23+00:00,8831,CHASS SPA,PRIMERA_LECTURA,DISPONIBLE,2026-08-18T21:54:27.849644+00:00,AC,22,Tipo 2,HUB DE CARGA RANCAGUA,Chass,(7-22],Rancagua,Libertador Bernardo OHiggins
2026-09-01T18:56:23+00:00,1365,COPEC VOLTEX,PRIMERA_LECTURA,DISPONIBLE,2026-08-22T02:58:20.819236+00:00,AC,7.4,Tipo 2,SAVE CLINICA INDISA MAIPU,Copec Voltex,7,Maipú,Metropolitana
2026-09-01T18:56:23+00:00,93,ENEL MOBILITY CHILE SPA,PRIMERA_LECTURA,FUERA DE LINEA,2026-04-08T21:35:57.359777+00:00,AC,22,Tipo 2,La Castellana Esquina Apoquindo,Enel,(7-22],Las Condes,Metropolitana
2026-09-01T18:56:23+00:00,7272,ENEL X,PRIMERA_LECTURA,FUERA DE LINEA,2026-09-01T14:36:27.543529+00:00,DC,60,CCS 2,Enel X - EDS Petrobras Pajaritos ,Enel,(50-150],Maipú,Metropolitana
2026-09-01T18:56:23+00:00,9119,Enerlink Chile SpA,PRIMERA_LECTURA,OCUPADO,2026-09-01T12:32:55.645129+00:00,DC,148.96,CCS 2,SAVE SHELL AV. VICUÑA MACKENNA,Enerlink,(50-150],La Florida,Metropolitana
2026-09-01T18:56:23+00:00,7681,COPEC VOLTEX,PRIMERA_LECTURA,NO DISPONIBLE,2026-04-08T18:58:06.462980+00:00,AC,7.4,Tipo 2,HUB CENCO LA FLORIDA,Copec Voltex,7,La Florida,Metropolitana
2026-09-01T18:56:23+00:00,4801,COPEC VOLTEX,PRIMERA_LECTURA,NO DISPONIBLE,2025-09-24T11:51:30.959132+00:00,AC,22,Tipo 2,SAN EUGENIO,Copec Voltex,(7-22],Nunoa,Metropolitana
2026-09-01T18:56:23+00:00,1283,COPEC VOLTEX,PRIMERA_LECTURA,NO DISPONIBLE,2025-02-12T20:18:31.230141+00:00,AC,22,Tipo 2,AV. LA FLORIDA ESQ. WALKER MARTINEZ,Copec Voltex,(7-22],La Florida,Metropolitana
2026-09-01T18:56:23+00:00,497,ENEL X,PRIMERA_LECTURA,DISPONIBLE,2026-09-01T04:07:55.551286+00:00,AC,7.4,Tipo 2,Enel X- Autoplanet Maipu,Enel,7,Maipú,Metropolitana
2026-09-01T18:56:23+00:00,602,COPEC VOLTEX,PRIMERA_LECTURA,FUERA DE LINEA,2025-02-19T20:26:46.971758+00:00,AC,22,Tipo 2,IRVE EDIF. LOS MILITARES - CBRE,Copec Voltex,(7-22],Las Condes,Metropolitana
2026-09-01T18:56:23+00:00,1057,Comer. Ditec Automoviles SA,PRIMERA_LECTURA,FUERA DE LINEA,2026-04-08T21:35:57.359777+00:00,AC,7.4,Tipo 2,Cargadores Ditec Padre Hurtado,Comer. Ditec Automoviles SA,7,Vitacura,Metropolitana
2026-09-01T18:56:23+00:00,1804,COPEC VOLTEX,PRIMERA_LECTURA,NO DISPONIBLE,2025-07-10T15:10:45.299888+00:00,AC,7.4,Tipo 2,IRVE - MALL ARAUCO ESTACION,Copec Voltex,7,Estación Central,Metropolitana
2026-09-01T18:56:23+00:00,1652,Enerlink Chile SpA,PRIMERA_LECTURA,DISPONIBLE,2026-09-01T14:43:18.282442+00:00,DC,120,CCS 2,Enex E-Pro Cerrillos,Enerlink,(50-150],Cerrillos,Metropolitana
2026-09-01T18:56:23+00:00,1087,COPEC VOLTEX,PRIMERA_LECTURA,NO DISPONIBLE,2026-09-01T18:47:01.115075+00:00,DC,50,CHAdeMO,SAVE VOLTEX 20089 PUERTO VARAS,Copec Voltex,(22-50],Puerto Varas,Los Lagos
2026-09-01T18:56:23+00:00,1619,nmaes99 prueba prod patre99 matre99,PRIMERA_LECTURA,NO DISPONIBLE,2026-06-09T15:16:07.910879+00:00,DC,100,CCS 2,PROD 4627659 46276971,nmaes99 prueba prod patre99 matre99,(50-150],Santiago,Metropolitana
2026-09-01T18:56:23+00:00,8157,ENEL X,PRIMERA_LECTURA,DISPONIBLE,2026-09-01T14:01:18.569836+00:00,DC,60,CCS 2,IRVE Tottus Catedral,Enel,(50-150],Santiago,Metropolitana
2026-09-01T18:56:23+00:00,9194,COPEC VOLTEX,PRIMERA_LECTURA,DISPONIBLE,2026-09-01T18:12:23.863021+00:00,DC,180,CCS 2,CARGADOR VOLTEX E/S COPEC PAJARITOS,Copec Voltex,150,Maipú,Metropolitana
2026-09-01T18:56:23+00:00,7706,COPEC VOLTEX,PRIMERA_LECTURA,NO DISPONIBLE,2026-04-08T18:58:07.112896+00:00,AC,7.4,Tipo 2,HUB CENCO LA FLORIDA,Copec Voltex,7,La Florida,Metropolitana
2026-09-01T18:56:23+00:00,403,COPEC VOLTEX,PRIMERA_LECTURA,FUERA DE LINEA,2026-08-28T04:26:10.081447+00:00,AC,22,Tipo 2,Maria Pinto,Copec Voltex,(7-22],María Pinto,Metropolitana
2026-09-01T18:56:23+00:00,9439,COPEC VOLTEX,PRIMERA_LECTURA,FUERA DE LINEA,2026-08-31T19:46:19.321158+00:00,AC,7.4,Tipo 2,Copec Voltex - Hacienda Santa Cristina,Copec Voltex,7,Ovalle,Coquimbo
2026-09-01T18:56:23+00:00,803,ENEL X,PRIMERA_LECTURA,FUERA DE LINEA,2026-08-04T04:00:24.411833+00:00,AC,7.4,Tipo 2,Enel X Way Privados - Parque Arauco,Enel,7,Las Condes,Metropolitana
2026-09-01T18:56:23+00:00,8806,COPEC VOLTEX,PRIMERA_LECTURA,FUERA DE LINEA,2026-08-31T19:39:33.251865+00:00,AC,7.4,Tipo 2,MALL PLAZA COPIAPO,Copec Voltex,7,Copiapó,Atacama
2026-09-01T18:56:23+00:00,255,COPEC VOLTEX,PRIMERA_LECTURA,FUERA DE LINEA,2026-09-01T15:41:21.450762+00:00,AC,22,Tipo 2,ESTACION DE SERVICIOS COPEC LAUTARO,Copec Voltex,(7-22],Lautaro,La Araucanía
