vista,fecha,empresa,tramo_potencia,power_type,transacciones
opc,2026-09-04,Enel,7,,29
opc,2026-09-04,Enel,7,AC,29
opc,2026-09-04,Copec Voltex,7,,27
opc,2026-09-04,Copec Voltex,7,AC,27
opc,2026-09-04,Enel,150,,18
opc,2026-09-04,Enel,150,DC,18
opc,2026-09-04,Copec Voltex,(7-22],,17
opc,2026-09-04,Copec Voltex,(7-22],AC,17
opc,2026-09-04,Enerlink,(7-22],,13
opc,2026-09-04,Enerlink,(7-22],AC,13
opc,2026-09-04,Enel,(50-150],AC,13
opc,2026-09-04,Enerlink,150,,11
opc,2026-09-04,Enerlink,150,DC,11
opc,2026-09-04,Enerlink,(22-50],AC,5
opc,2026-09-04,Enerlink,7,,2
opc,2026-09-04,Enerlink,7,AC,2
opc,2026-09-04,Enel,(7-22],DC,2
owner,2026-09-01,Copec Voltex,150,,146
owner,2026-09-01,Copec Voltex,150,DC,146
owner,2026-09-01,Enel,(50-150],,97
owner,2026-09-01,Enel,(50-150],DC,96
owner,2026-09-01,Enerlink,(50-150],,49
owner,2026-09-01,Enerlink,(50-150],DC,49
owner,2026-09-01,Copec Voltex,(22-50],,37
owner,2026-09-01,Copec Voltex,(22-50],DC,37
owner,2026-09-01,Enel,(22-50],,30
owner,2026-09-01,Enel,(22-50],DC,30
owner,2026-09-01,Enerlink,(22-50],,26
owner,2026-09-01,Enerlink,(22-50],DC,25
owner,2026-09-01,Copec Voltex,(50-150],,12
owner,2026-09-01,Copec Voltex,(50-150],DC,12
owner,2026-09-01,Copec Voltex,(7-22],,10
owner,2026-09-01,Copec Voltex,(7-22],AC,10
owner,2026-09-01,Enel,(7-22],,8
owner,2026-09-01,Enel,7,,6
owner,2026-09-01,Enel,7,AC,6
owner,2026-09-01,Enel,(7-22],AC,6
owner,2026-09-01,Enerlink,7,,5
owner,2026-09-01,Enerlink,7,AC,5
owner,2026-09-01,Copec Voltex,7,,4
owner,2026-09-01,Copec Voltex,7,AC,4
owner,2026-09-01,Enerlink,150,,3
owner,2026-09-01,Enerlink,150,DC,3
owner,2026-09-01,Enerlink,(7-22],,3
owner,2026-09-01,Enerlink,(7-22],AC,3
owner,2026-09-01,Enel,(7-22],DC,2
owner,2026-09-01,Enerlink,(22-50],AC,1
owner,2026-09-01,Enel,(50-150],AC,1
owner,2026-09-01,Enel,150,,1
owner,2026-09-01,Enel,150,DC,1
owner,2026-09-02,Copec Voltex,150,,588
owner,2026-09-02,Copec Voltex,150,DC,588
owner,2026-09-02,Enel,(50-150],,543
owner,2026-09-02,Enel,(50-150],DC,535
owner,2026-09-02,Enerlink,(50-150],,270
owner,2026-09-02,Enerlink,(50-150],DC,270
owner,2026-09-02,Enel,(22-50],,177
owner,2026-09-02,Enel,(22-50],DC,177
owner,2026-09-02,Copec Voltex,(22-50],,133
owner,2026-09-02,Copec Voltex,(22-50],DC,133
owner,2026-09-02,Enerlink,(22-50],,121
